BYLINE,DATE,DATELINE,HEADLINE,LENGTH,PUBLICATION,SECTION,TITLE,SUBJECT
THE EDITORIAL BOARD,"June 21, 2016 Tuesday 00:00 EST",,Congress vs. the States on Guns; Editorial,439 words,The New York Times,OPINION,,FIREARMS (94%); EDITORIALS & OPINIONS (92%); SUPREME COURTS (91%); GUN CONTROL (91%); LEGISLATIVE BODIES (90%); LEGISLATION (90%); RIGHT TO BEAR ARMS (90%); LAW COURTS & TRIBUNALS (90%); VIOLENT CRIME (90%); TERRORISM (89%); BACKGROUND CHECKS (89%); SHOOTINGS (89%); US REPUBLICAN PARTY (78%); DECISIONS & RULINGS (78%); US STATE GOVERNMENT (78%); LAW ENFORCEMENT (78%); REGIONAL & LOCAL GOVERNMENTS (77%); LOBBYING (77%); 2016 ORLANDO NIGHTCLUB SHOOTING (75%); ATTORNEYS GENERAL (73%); POLITICS (71%); DRIVING WHILE INTOXICATED (69%); SPECIAL INVESTIGATIVE FORCES (64%); INTERNET SOCIAL NETWORKING (60%)
DAVID M. HERSZENHORN,"June 21, 2016 Tuesday 00:00 EST",,"Bipartisan Senate Group Proposes 'No Fly, No Buy' Gun Measure",966 words,The New York Times,US; politics,,GUN CONTROL (95%); TERRORISM (92%); FIREARMS (91%); LEGISLATIVE BODIES (90%); US REPUBLICAN PARTY (90%); US DEMOCRATIC PARTY (90%); SHOOTINGS (89%); POLITICAL PARTIES (78%); LEGISLATION (78%); LAW ENFORCEMENT (78%); SPECIAL INVESTIGATIVE FORCES (77%); PASSPORTS & VISAS (77%); TERRORIST ATTACKS (77%); 2016 ORLANDO NIGHTCLUB SHOOTING (77%); POLITICS (75%); US PRESIDENTIAL CANDIDATES 2016 (74%); INVESTIGATIONS (72%); FEDERAL INVESTIGATIONS (68%); PRESS CONFERENCES (51%)
MICHELLE INNIS,"June 20, 2016 Monday 00:00 EST",,An Amateur Undertaking in Australian Mining Town With No Funeral Home; Lightning Ridge Journal,1563 words,The New York Times,WORLD; australia,,DEATHS & OBITUARIES (91%); GEMSTONE MINING (90%); CEMETERIES (89%); BEER & ALE (84%); WEATHER (76%); DRINKING PLACES (73%); LAWN BOWLING (73%); SPORT HUNTING (70%)
KAREEM FAHIM and JAWAD SUKHANYAR,"June 20, 2016 Monday 00:00 EST",,Bomb Kills Foreign Security Contractors in Kabul,703 words,The New York Times,WORLD; asia,,TALIBAN (92%); EMBASSIES & CONSULATES (91%); BOMBINGS (91%); TERRORISM (90%); BOMBS & EXPLOSIVE DEVICES (90%); WORKPLACE VIOLENCE (90%); WAR & CONFLICT (90%); POLICE FORCES (90%); EXPLOSIONS (90%); MUSLIMS & ISLAM (89%); RAMADAN (89%); REGIONAL & LOCAL GOVERNMENTS (89%); TERRORIST ATTACKS (89%); SUICIDE BOMBINGS (78%); INFORMATION SECURITY VULNERABILITIES (78%); REBELLIONS & INSURGENCIES (78%); COMMUTING (78%); RELIGION (75%); TERRORIST ORGANIZATIONS (73%); WOUNDS & INJURIES (71%); UNITED NATIONS INSTITUTIONS (71%); UNITED NATIONS (70%); VEHICLE TRAFFIC (67%); INTERNET SOCIAL NETWORKING (64%); MOTOR VEHICLES (50%)
SAM ROBERTS,"June 20, 2016 Monday 00:00 EST",,"Richard Linke, Andy Griffith's Talent Manager, Dies at 98",1169 words,The New York Times,ARTS; television,,DEATHS & OBITUARIES (93%); ACTORS & ACTRESSES (90%); MUSIC (89%); SINGERS & MUSICIANS (89%); TELEVISION INDUSTRY (89%); MUSIC EDUCATION (78%); CELEBRITIES (78%); TELEVISION PROGRAMMING (77%); FILM (76%); FILM DIRECTORS (76%); NETWORK TELEVISION (72%); LAWYERS (66%); SHERIFFS (55%)
RICK GLADSTONE,"June 20, 2016 Monday 00:00 EST",,Bahrain's Sunni Rulers Revoke Citizenship of Top Shiite Cleric,661 words,The New York Times,WORLD; middleeast,,RELIGION (97%); MUSLIMS & ISLAM (93%); CITIZENSHIP (93%); TYPES OF GOVERNMENT (90%); DENATURALIZATION (90%); POLITICAL PROTESTS (89%); PROTESTS & DEMONSTRATIONS (89%); DEMOCRACIES (78%); CITIZENSHIP LAW (78%); ARRESTS (78%); HUMAN RIGHTS VIOLATIONS (77%); RACISM & XENOPHOBIA (77%); HUMAN RIGHTS (72%); US NAVY (71%); NAVIES (71%); JUSTICE DEPARTMENTS (70%); INFANTS & TODDLERS (60%)
JOSHUA BARONE,"June 20, 2016 Monday 00:00 EST",,Crossing the Line Festival Includes a New 'Julius Caesar',320 words,The New York Times,ARTS,,ARTISTS & PERFORMERS (91%); HIP HOP CULTURE (90%); DANCERS (90%); THEATER & DRAMA (90%); CHOREOGRAPHY (90%); FESTIVALS (90%); THEATER (90%); DANCE (90%); SCULPTURE (78%); ARTS FESTIVALS & EXHIBITIONS (78%); THEATER COMPANIES (75%); MUSEUMS & GALLERIES (72%)
ERIK PIEPENBURG,"June 20, 2016 Monday 00:00 EST",,A Guide to Gay Summer Events Worth Traveling To; Where to Go Now,1654 words,The New York Times,TRAVEL,,GAYS & LESBIANS (98%); TRANSGENDER PERSONS (91%); 2015 US SUPREME COURT GAY MARRIAGE DECISION (90%); ARTISTS & PERFORMERS (90%); FESTIVALS (90%); THEATER (90%); PARADES & MARCHES (90%); MARRIAGE (89%); SAME SEX MARRIAGE & UNIONS (89%); ANNIVERSARIES (78%); SAME SEX MARRIAGE LAWS (77%); 2016 ORLANDO NIGHTCLUB SHOOTING (76%); THEATER & DRAMA (75%); CHOREOGRAPHY (74%); VISUAL & PERFORMING ARTS (74%); DANCE (74%); CALENDARS (73%); DECISIONS & RULINGS (73%); SUPREME COURTS (73%); SINGERS & MUSICIANS (73%); MUSIC (71%); NIGHTCLUBS (71%); SHOOTINGS (71%); MASS SHOOTINGS (71%); FEMINISM & WOMEN'S RIGHTS (70%); DRAMA LITERATURE (69%); WRITERS (64%)
STEVEN McELROY,"June 20, 2016 Monday 00:00 EST",,Gay Travelers on Where to Go After Orlando,1499 words,The New York Times,TRAVEL,,GAYS & LESBIANS (96%); TRANSGENDER PERSONS (90%); SHOOTINGS (90%); TRAVEL  HOSPITALITY & TOURISM (90%); MASS SHOOTINGS (90%); FESTIVALS (89%); MURDER (78%); LGBT RIGHTS (78%); GENDER & SEX DISCRIMINATION (78%); 2016 ORLANDO NIGHTCLUB SHOOTING (78%); ASSOCIATIONS & ORGANIZATIONS (75%); DRINKING PLACES (73%); BOMBS & EXPLOSIVE DEVICES (73%); ARRESTS (73%); FIREARMS (73%); INTERVIEWS (69%); EXECUTIVES (60%)
JAMES PONIEWOZIK,"June 20, 2016 Monday 00:00 EST",,Two Astonishing Views of O.J. Simpson and His Trial,1094 words,The New York Times,ARTS; television,,TELEVISION PROGRAMMING (95%); TELEVISION INDUSTRY (91%); DOCUMENTARY FILMS (89%); TELEVISION DRAMAS (87%); CELEBRITIES (87%); HOMICIDE (78%); VERDICTS (78%); ACQUITTAL (77%); RACE & ETHNICITY (74%); SINGLE PARENTS (50%)
NATE SCHWEBER and LISA W. FODERARO,"June 20, 2016 Monday 00:00 EST",,"Woman Charged in Kayak Death Admitted Keeping Paddle From Fiancé, Officer Testifies",1007 words,The New York Times,NYREGION,,INVESTIGATIONS (90%); CRIMINAL INVESTIGATIONS (90%); HOMICIDE (90%); ISLANDS & REEFS (90%); LAW ENFORCEMENT (90%); POLICE FORCES (90%); CANOEING & KAYAKING (90%); MURDER (89%); RESCUE OPERATIONS (89%); INTERROGATION OF SUSPECTS (78%); BOATING & RAFTING (77%); MARINE TRANSPORTATION ACCIDENTS (76%); DELAYS & POSTPONEMENTS (75%); COLD INJURIES (74%); LAWYERS (69%); HISTORIC SITES (60%)
SETH BERKMAN,"June 20, 2016 Monday 00:00 EST",,Sparks Surge With Candace Parker Back in Action,957 words,The New York Times,SPORTS; basketball,,BASKETBALL (92%); SPORTS & RECREATION EVENTS (90%); SPORTS (90%); SPORTS & RECREATION (90%); TOURNAMENTS (90%); SPORTS AWARDS (78%); PROFESSIONAL SPORTS (78%)
,"June 20, 2016 Monday 00:00 EST",,An Untimely Stall by Toyota Gives Porsche the 24 Hours of Le Mans Title; Sports Briefing,1065 words,The New York Times,SPORTS,,BASEBALL (91%); AUTO RACING (90%); SOCCER (90%); BASKETBALL (90%); SOCCER TOURNAMENTS (90%); SPORTS & RECREATION EVENTS (89%); COLLEGE & UNIVERSITY SPORTS (88%); BICYCLES (79%); PROFESSIONAL SPORTS (78%); CYCLING (78%); OLYMPICS (74%); NASCAR RACING (73%); GOLF (73%); TRACK & FIELD (73%); SPORTS & RECREATION FACILITIES & VENUES (72%); 2016 RIO SUMMER OLYMPICS (64%); RUNNING (58%)
GAIA PIANIGIANI and ELISABETTA POVOLEDO,"June 20, 2016 Monday 00:00 EST",,Virginia Raggi of Five Star Movement Sweeps Election for Rome's Mayor,1144 words,The New York Times,WORLD; europe,,POLITICAL PARTIES (93%); PRIME MINISTERS (92%); HEADS OF STATE & GOVERNMENT (91%); ELECTIONS (90%); MAYORS (90%); POLITICS (90%); CITY GOVERNMENT (90%); PROTESTS & DEMONSTRATIONS (89%); VOTERS & VOTING (89%); RUNOFF ELECTIONS (89%); REFERENDUMS (78%); CAMPAIGNS & ELECTIONS (78%); CORRUPTION (76%); POLLS & SURVEYS (72%); SCANDALS (56%); LAWYERS (54%)
DAVID E. SANGER,"June 20, 2016 Monday 00:00 EST",,"Chinese Curb Cyberattacks on U.S. Interests, Report Finds",1179 words,The New York Times,US; politics,,CYBERCRIME (93%); CRIME PREVENTION (90%); COMPUTER NETWORK SECURITY (90%); US PRESIDENTS (90%); INTELLECTUAL PROPERTY CRIME (90%); RESEARCH REPORTS (90%); SEPARATISM & SECESSION (90%); AGREEMENTS (90%); PROPERTY CRIMES (89%); ESPIONAGE (89%); INTELLIGENCE SERVICES (89%); LARCENY & THEFT (89%); COMPUTER CRIME (78%); INTELLECTUAL PROPERTY (78%); POLITICS (78%); LAW ENFORCEMENT (78%); FIGHTERS & BOMBERS (77%); NATIONAL SECURITY (77%); INFORMATION WARFARE (77%); ELECTRONICS (76%); JUSTICE DEPARTMENTS (74%); HUMAN RESOURCES (72%); DEFENSE INDUSTRY (72%); SEMICONDUCTORS (72%); DEFENSE CONTRACTING (72%); INDICTMENTS (69%); POLITICAL PARTIES (68%); BLOGS & MESSAGE BOARDS (67%); ATTORNEYS GENERAL (64%); SEMICONDUCTOR MFG (50%)
SAM TANENHAUS,"June 20, 2016 Monday 00:00 EST",,What Do This Season's Political Books Tell Us About the Election?; Essay,4821 words,The New York Times,BOOKS; review,,US REPUBLICAN PARTY (90%); POLITICAL PARTIES (90%); CAMPAIGNS & ELECTIONS (90%); CHRISTIANS & CHRISTIANITY (90%); POLITICAL PARTY CONVENTIONS (90%); POLITICS (90%); DEMOCRACIES (89%); US PRESIDENTIAL CANDIDATES 2016 (89%); ELECTIONS (78%); TYPES OF GOVERNMENT (78%); TEA PARTY MOVEMENT (78%); US PRESIDENTIAL ELECTIONS (78%); HEADS OF GOVERNMENT ELECTIONS (78%); ECONOMIC DEPRESSION (76%); ECONOMIC CRISIS (76%); GREAT DEPRESSION (76%); FUNDAMENTALISM (75%); MIDDLE INCOME PERSONS (74%); COMMUNITY ACTIVISM (74%); WRITERS (74%); LITERATURE (73%); CLERGY & RELIGIOUS VOCATIONS (72%); MILLENNIUM (72%); BIBLE & CHRISTIAN TEXTS (72%); RELIGION (72%); CONFERENCES & CONVENTIONS (72%); PROTESTS & DEMONSTRATIONS (71%); WEALTHY PEOPLE (68%); BOOK REVIEWS (65%); VOTERS & VOTING (65%); OIL & GAS INDUSTRY (63%); SOCIAL MEDIA (60%); CONSTITUTIONAL LAW (59%)
CHARLES M. BLOW,"June 20, 2016 Monday 00:00 EST",,The G.O.P.'s Cynical Gay Ploy; Op-Ed Columnist,907 words,The New York Times,OPINION,,GAYS & LESBIANS (94%); EDITORIALS & OPINIONS (92%); POLITICAL PARTIES (91%); TRANSGENDER PERSONS (90%); US REPUBLICAN PARTY (90%); US PRESIDENTIAL CANDIDATES 2016 (90%); MARRIAGE (90%); US DEMOCRATIC PARTY (90%); 2016 ORLANDO NIGHTCLUB SHOOTING (90%); US PRESIDENTIAL CANDIDATES 2012 (90%); SAME SEX MARRIAGE & UNIONS (90%); COHABITATION (88%); HUMAN RIGHTS ORGANIZATIONS (75%); LEGISLATIVE BODIES (75%); GENDER & SEX DISCRIMINATION (75%); DISCRIMINATION (75%); ELECTIONS (73%); LEGISLATION (73%); CAMPAIGNS & ELECTIONS (73%); DISCRIMINATION LAW (72%); POLITICS (71%); HEADS OF GOVERNMENT ELECTIONS (68%); MUSLIMS & ISLAM (50%)
WILLIAM K. RASHBAUM and JOSEPH GOLDSTEIN,"June 20, 2016 Monday 00:00 EST",,3 N.Y.P.D. Commanders Are Arrested in Vast Corruption Case,1638 words,The New York Times,NYREGION,,POLICE FORCES (94%); ARRESTS (93%); FUNDRAISING (91%); CORRUPTION (91%); POLITICAL DONATIONS & FUNDRAISING (90%); MAYORS (90%); INVESTIGATIONS (90%); CAMPAIGN FINANCE (90%); CITY GOVERNMENT (90%); SPECIAL INVESTIGATIVE FORCES (78%); MISCONDUCT (78%); DEATHS & INJURIES BY POLICE (78%); BRIBERY (78%); LAW ENFORCEMENT (78%); GUILTY PLEAS (78%); POLICE MISCONDUCT (78%); CITIES (77%); LAW COURTS & TRIBUNALS (76%); POLITICS (76%); POLICE BRUTALITY (73%); LAWYERS (72%); COMPUTER GAMES (69%); ELECTRONIC GAME EQUIPMENT (69%); HOTELS & MOTELS (68%); PARKS & PLAYGROUNDS (66%); PROSTITUTION (53%); JEWS & JUDAISM (50%)
THE ASSOCIATED PRESS,"June 19, 2016 Sunday 00:00 EST",,"Albania Stays Alive With Unprecedented Win; France and Switzerland Advance; Albania 1, Romania 0",401 words,The New York Times,SPORTS; soccer,,SPORTS & RECREATION EVENTS (90%); SOCCER (90%); TOURNAMENTS (90%); STADIUMS & ARENAS (89%); SPORTS FANS (89%); SOCCER TOURNAMENTS (89%); SPORTS & RECREATION (77%); SPORTS (77%); ATHLETES (74%); HISTORY (73%); HEADS OF STATE & GOVERNMENT (69%); PRIME MINISTERS (63%)
JIM RUTENBERG,"June 19, 2016 Sunday 00:00 EST",,"Mike Allen, Politico's Newsletter Pioneer, Is Handing Over the Reins; Mediator",1360 words,The New York Times,BUSINESS; media,,JOURNALISM (89%); WRITERS (89%); US REPUBLICAN PARTY (78%); US DEMOCRATIC PARTY (78%); MILLENNIUM (77%); LOBBYING (76%); LEGISLATIVE BODIES (74%); NEWS REPORTING (72%); TELEVISION INDUSTRY (64%)
THE ASSOCIATED PRESS,"June 19, 2016 Sunday 00:00 EST",,"Mexico's Unbeaten Streak Ends With a Rout; Chile 7, Mexico 0",160 words,The New York Times,SPORTS; soccer,,SOCCER (90%); SPORTS & RECREATION EVENTS (88%)
JAMES WAGNER,"June 19, 2016 Sunday 00:00 EST",,"Braves Outrun and Outfox the Mets; Braves 4, Mets 3",682 words,The New York Times,SPORTS; baseball,,BASEBALL (92%); STADIUMS & ARENAS (78%); COACHES & TRAINERS (71%)
ELI ROSENBERG,"June 19, 2016 Sunday 00:00 EST",,"Donald Shea, Officer Who Captured Infamous Bank Robber, Dies at 90",682 words,The New York Times,NYREGION,,DEATHS & OBITUARIES (93%); POLICE FORCES (91%); ROBBERY (90%); BANK ROBBERY (90%); ARRESTS (90%); INTERVIEWS (89%); FINGERPRINTING (78%); SPECIAL INVESTIGATIVE FORCES (78%); CRIMINAL INVESTIGATIONS (78%); SHOOTINGS (65%); ENDOCRINE SYSTEM DISORDERS (50%); CANCER (50%)
REUTERS,"June 19, 2016 Sunday 00:00 EST",,"Ron Lester, Actor Known for 'Varsity Blues,' Dies at 45",224 words,The New York Times,MOVIES,,DEATHS & OBITUARIES (93%); OBESITY (90%); SURGERY & TRANSPLANTATION (90%); ACTORS & ACTRESSES (90%); BARIATRICS (90%); CELEBRITIES (90%); HIGH SCHOOL SPORTS (73%); ARTISTS & PERFORMERS (73%); UROGENITAL DISORDERS & INJURIES (72%)
JON CARAMANICA,"June 19, 2016 Sunday 00:00 EST",,"Prince Be, Who Infused Rap With Mysticism, Dies at 46",715 words,The New York Times,ARTS; music,,DEATHS & OBITUARIES (94%); RAP MUSIC (92%); HIP HOP CULTURE (90%); SINGERS & MUSICIANS (90%); POP & ROCK (90%); ASTROLOGISTS & PSYCHICS (90%); MUSIC (88%); RECORD RELEASES (88%); PARALYSIS (77%); DIABETES (76%); MUSIC INDUSTRY (74%); UROGENITAL DISORDERS & INJURIES (71%); STEPPARENTS (51%); HOMELESS SHELTERS (50%); TEMPORARY SHELTERS (50%); HOMELESSNESS (50%)
DAVE PHILIPPS,"June 19, 2016 Sunday 00:00 EST",,"Decades Later, Sickness Among Airmen After a Hydrogen Bomb Accident",4721 words,The New York Times,US,,NUCLEAR WEAPONS (93%); BOMBS & EXPLOSIVE DEVICES (91%); US AIR FORCE (90%); MILITARY WEAPONS (90%); AIR FORCES (90%); AIRCRAFT ACCIDENTS (90%); ARMED FORCES (90%); DEFENSE DEPARTMENTS (90%); CANCER (87%); DISEASES & DISORDERS (86%); COLD WAR (78%); RANKINGS (78%); MUSICAL INSTRUMENTS (77%); WIND INSTRUMENTS (77%); NUCLEAR ACCIDENTS (76%); TOXIC & HAZARDOUS SUBSTANCES (74%); ENVIRONMENTAL ACCIDENTS & DISASTERS (74%); FIGHTERS & BOMBERS (73%); MUSIC (72%); SINGERS & MUSICIANS (72%); INDUSTRIAL ACCIDENTS (71%); POISONINGS (69%); VETERANS HOSPITALS (64%); VETERANS HEALTH CARE (64%)
RICK ROJAS and SANDRA E. GARCIA,"June 19, 2016 Sunday 00:00 EST",,"Armed Man Is Fatally Shot by Officers in the Bronx, Police Say",565 words,The New York Times,NYREGION,,POLICE FORCES (91%); DEATHS & INJURIES BY POLICE (90%); INVESTIGATIONS (90%); GUNSHOT WOUNDS (90%); LAW ENFORCEMENT (90%); FIREARMS (89%); WOUNDS & INJURIES (78%); SURVEILLANCE (78%); CITY GOVERNMENT (78%); POLICE MISCONDUCT (78%); MISCONDUCT (74%); POLICE BRUTALITY (73%); HOUSING AUTHORITIES (72%); SHOOTINGS (58%)
JAMES BARRON,"June 19, 2016 Sunday 00:00 EST",,"A Grand Rendition of Beethoven. It Takes Up a Million Square Feet, in Fact.; Grace Notes",1122 words,The New York Times,NYREGION,,ARTISTS & PERFORMERS (92%); MUSIC (91%); CLASSICAL MUSIC (90%); MUSIC COMPOSITION (90%); SINGERS & MUSICIANS (90%); MUSIC GROUPS & ARTISTS (89%); KEYBOARD INSTRUMENTS (89%); SCULPTURE (77%); VISUAL ARTISTS (76%); MUSIC EDUCATION (70%); WIND INSTRUMENTS (66%); MOTOR VEHICLES (61%); MIDDLE & JUNIOR HIGH SCHOOLS (60%); MOTORCYCLE & BICYCLE MFG (50%)
THE ASSOCIATED PRESS,"June 19, 2016 Sunday 00:00 EST",,"Tim Lincecum, in a New Uniform, Wins in His Return From Hip Surgery; Sports Briefing",1340 words,The New York Times,SPORTS,,BASEBALL (92%); SPORTS & RECREATION EVENTS (90%); COLLEGE & UNIVERSITY SPORTS (90%); SPORTS & RECREATION (90%); SPORTS (90%); SPORTS AWARDS (78%)
ERIC LICHTBLAU,"June 19, 2016 Sunday 00:00 EST",,Specter of 1994 Assault Weapons Ban Lingers Over New Gun Control Push,705 words,The New York Times,US; politics,,GUN CONTROL (95%); FIREARMS (92%); TERRORISM (91%); US DEMOCRATIC PARTY (91%); LEGISLATIVE BODIES (90%); US REPUBLICAN PARTY (90%); POLITICAL PARTIES (90%); SHOOTINGS (90%); ILLEGAL WEAPONS (90%); POLITICS (90%); MASS SHOOTINGS (90%); CRIME RATES (89%); CAMPAIGNS & ELECTIONS (89%); US PRESIDENTS (89%); ELECTIONS (78%); FILIBUSTER (78%); 2016 ORLANDO NIGHTCLUB SHOOTING (77%); LAW ENFORCEMENT (77%); DEMERGERS & SPINOFFS (76%); BACKGROUND CHECKS (73%); GANGS (72%); ASSOCIATIONS & ORGANIZATIONS (71%)
DAVE ITZKOFF,"June 19, 2016 Sunday 00:00 EST",,"Anton Yelchin, 'Star Trek' Actor, Dies at 27",589 words,The New York Times,MOVIES,,DEATHS & OBITUARIES (91%); FILM (90%); ACTORS & ACTRESSES (90%); MOTOR VEHICLES (90%); ACTION & ADVENTURE FILMS (78%); TELEVISION PROGRAMMING (78%); POLICE FORCES (78%); CELEBRITIES (78%); SCIENCE FICTION & FANTASY FILMS (78%); SPORT UTILITY VEHICLES (77%); ROAD TRANSPORTATION SAFETY (73%); PREGNANCY & CHILDBIRTH (72%); AUTOMOTIVE RECALLS (72%); ICE SKATING (66%); WINTER SPORTS (66%); RELIGION (65%)
NEIL GENZLINGER,"June 19, 2016 Sunday 00:00 EST",,Review: 'I'll Say She Is' Revives a Marx Brothers Revue,453 words,The New York Times,THEATER,,ARTISTS & PERFORMERS (90%); MUSIC (89%); MUSICAL THEATER (76%); FESTIVALS (76%); THEATER (57%); OPIUM (50%)
RONDA KAYSEN,"June 18, 2016 Saturday 00:00 EST",,What's the Value of Roof Access?; Ask Real Estate,1029 words,The New York Times,REALESTATE,,RENTAL PROPERTY (90%); RESIDENTIAL COOPERATIVES (90%); REAL ESTATE (90%); BUSINESS COOPERATIVES (89%); RESIDENTIAL CONDOMINIUMS (89%); CONDOMINIUMS (89%); RENT CONTROL (89%); RESIDENTIAL RENTAL PROPERTY (89%); RESIDENTIAL CO-OWNERSHIP (89%); REAL ESTATE VALUATIONS (77%); PROPERTY LEASES (76%); HOUSING MARKET (76%); RESIDENTIAL PROPERTY (76%); REAL PROPERTY LAW (76%); SHAREHOLDERS (60%); LITIGATION (60%)
JULIE KRAUT,"June 18, 2016 Saturday 00:00 EST",,"A Kiddie Party for Us All, Even Me; Loose Ends",549 words,The New York Times,OPINION; sunday,,EDITORIALS & OPINIONS (90%); DAIRY PRODUCTS (89%); ORGANIC FOODS (87%); MEAT FREE DIETS (72%); CHILDREN (71%); PARENTING (69%); PREGNANCY & CHILDBIRTH (65%); FEMINISM & WOMEN'S RIGHTS (60%); MUSIC EDUCATION (50%)
YAA GYASI,"June 18, 2016 Saturday 00:00 EST",,I'm Ghanaian-American. Am I Black?; Opinion,1057 words,The New York Times,OPINION; sunday,,AFRICAN AMERICANS (90%); EDITORIALS & OPINIONS (90%); RACIAL DISCRIMINATION IN EMPLOYMENT (77%); RACE & ETHNICITY (77%); MEN (76%); CAUCASIAN AMERICANS (76%); ETHNICITY (74%); MUSIC GROUPS & ARTISTS (67%); ACADEMIC TENURE (64%); STUDENT HONOR SOCIETIES (64%)
KATE MURPHY,"June 18, 2016 Saturday 00:00 EST",,Bradford Parkinson; Download,514 words,The New York Times,OPINION; sunday,,CLASSICAL MUSIC (92%); GLOBAL POSITIONING SYSTEM (91%); KEYBOARD INSTRUMENTS (90%); EDITORIALS & OPINIONS (90%); MOUNTAINS (89%); AIR FORCES (89%); ARMED FORCES (89%); MUSIC (88%); MUSIC INDUSTRY (88%); NAVIES (78%); MARITIME PIRACY (77%); MOUNTAIN CLIMBING (76%); MILITARY SCHOOLS & ACADEMIES (73%); SINGERS & MUSICIANS (72%); DANCE COMPANIES (63%)
SCOTT D. SAGAN,"June 18, 2016 Saturday 00:00 EST",,"A Real War Story, in Drawings; Opinion",1097 words,The New York Times,OPINION; sunday,,DRAWING & ILLUSTRATION (90%); HISTORY (90%); TRANSLATORS & INTERPRETERS (90%); INDIGENOUS PEOPLES (90%); REBELLIONS & INSURGENCIES (90%); NATIVE AMERICANS (90%); THIS DAY IN HISTORY (90%); EDITORIALS & OPINIONS (90%); HORSES (89%); ARMED FORCES (86%); CIVIL WAR (78%); ANNIVERSARIES (78%); WAR & CONFLICT (77%); TALIBAN (77%); MUSEUMS & GALLERIES (76%); MUSLIMS & ISLAM (72%); ISLAMIC STATE IN IRAQ & THE LEVANT (71%); HISTORIC SITES (71%); TERRORISM (60%); RELIGION (57%)
RUMAAN ALAM,"June 18, 2016 Saturday 00:00 EST",,"Two Dads, Two Kids, One Experiment in Family; Opinion",1061 words,The New York Times,OPINION; sunday,,FAMILY (92%); EDITORIALS & OPINIONS (90%); MARRIAGE (90%); SAME SEX MARRIAGE & UNIONS (88%); GAYS & LESBIANS (87%); RACE & ETHNICITY (77%); PARENTING (75%); GRANDPARENTS (69%); GENDER & SEX DISCRIMINATION (60%); RACISM & XENOPHOBIA (50%)
JESSE WEGMAN,"June 18, 2016 Saturday 00:00 EST",,"'I'm Sorry, No More Ducks'; Editorial Observer",683 words,The New York Times,OPINION; sunday,,EDITORIALS & OPINIONS (92%); CHILDREN (88%); PARENTING (65%)
BONNIE TSUI,"June 18, 2016 Saturday 00:00 EST",,Drinking by Numbers; Opinion,1324 words,The New York Times,OPINION; sunday,,SUBSTANCE ABUSE (90%); EDITORIALS & OPINIONS (90%); BEER & ALE (78%); ALCOHOLIC BEVERAGES (78%); ALCOHOL ABUSE & ADDICTION (75%); FAMILY (75%); INVESTIGATIONS (71%); EPIDEMIOLOGY (71%); CHILDREN (70%); PUBLIC HEALTH (69%); PUBLIC HEALTH ADMINISTRATION (67%); DISEASES & DISORDERS (66%); PSYCHOLOGY (66%); HEALTH DEPARTMENTS (65%)
PAT BORZI,"June 18, 2016 Saturday 00:00 EST",,"Rested Pitcher Guides Yankees Past Twins for Second Straight Win; Yankees 8, Twins 2",723 words,The New York Times,SPORTS; baseball,,BASEBALL (92%); STADIUMS & ARENAS (77%)
BRUCE WEBER,"June 18, 2016 Saturday 00:00 EST",,"Desmond Heeley, an 'Alchemist' of Theater Design, Dies at 85",1241 words,The New York Times,THEATER,,DEATHS & OBITUARIES (92%); COSTUME & SET DESIGN (91%); TONY AWARDS (90%); BALLET (90%); THEATER (90%); ENTERTAINMENT & ARTS AWARDS (90%); OPERA (90%); CELEBRITIES (90%); PERFORMING ARTS CENTERS (89%); DANCE (89%); DANCE COMPANIES (78%); THEATER & DRAMA (73%); CANCER (57%)
ALEX WILLIAMS,"June 18, 2016 Saturday 00:00 EST",,Pillow Talk With a Professional Cuddler,1054 words,The New York Times,FASHION,,YOGA (89%); DOGS (77%); MASSAGE SERVICES (76%); MEDITATION (75%); JAZZ & BLUES (72%); NONPROFIT ORGANIZATIONS (70%)
TYLER KEPNER,"June 18, 2016 Saturday 00:00 EST",,A Royals Call-Up Is Making a Case to Stay; Extra Bases,1554 words,The New York Times,SPORTS; baseball,,BASEBALL (92%); SPORTS & RECREATION EVENTS (90%); STADIUMS & ARENAS (89%); COLLEGE & UNIVERSITY SPORTS (89%); PROFESSIONAL SPORTS (78%); DELAYS & POSTPONEMENTS (78%); BONE FRACTURES (72%)
DANIEL E. SLOTNIK,"June 18, 2016 Saturday 00:00 EST",,"Lois Duncan, 82, Dies; Author Knew 'What You Did Last Summer'",616 words,The New York Times,BOOKS,,YOUNG ADULT LITERATURE (91%); FICTION LITERATURE (91%); DEATHS & OBITUARIES (91%); NOVELS & SHORT STORIES (90%); DRAMA LITERATURE (90%); WRITERS (90%); HORROR FILMS (90%); ADOLESCENTS (90%); MURDER (89%); INVESTIGATIONS (89%); ADULTS (89%); LITERATURE (78%); ACTORS & ACTRESSES (78%); LITERATURE GENRES (78%); CRIMINAL INVESTIGATIONS (77%); SHOOTINGS (77%); ASTROLOGISTS & PSYCHICS (76%); VISUAL ARTISTS (73%); ACCIDENTAL FATALITIES (72%); BUSINESS & PROFESSIONAL ASSOCIATIONS (66%); HOTELS & MOTELS (63%); DOGS (63%); PHOTOJOURNALISM (61%)
